scene_name,TotalTissueArea(sqmm),TotalVilliArea(sqmm),VPD,Area_StainArtifact(sqmm),Area_Hemosiderin(sqmm),Total Stain,Stain>10k,Stain5k-10k,Stain2k-5k,Stain<2k
EARLI Fe.1004001-3 Fe,348.8348435,264.3851701,0.757909294,0.043089242,0.32069266,0.363781903,0.015106078,0.005584542,0.016572512,0.326518771
EARLI Fe.1004001-4 Fe,190.9639841,103.9210896,0.54419209,0.056228728,0.167919055,0.224147782,0.0097217,0.005829159,0.005991983,0.20260494
EARLI Fe.1004001-5 Fe,314.4796934,196.3521042,0.624371329,0.06290249,0.199101805,0.262004295,0.036731476,0.011755352,0.017877392,0.195640075
EARLI Fe.1004001-6 Fe,487.5357314,354.9652774,0.728080537,0.039883306,0.382991354,0.42287466,0,0.001875654,0.015451793,0.405547213
EARLI Fe.1004001-7 Fe,462.1446754,342.8293117,0.741822485,0.706888172,0.382605504,1.089493676,0.590803622,0.071340648,0.056591971,0.370757435
EARLI Fe.1004001_4_Fe,192.2968662,94.93159311,0.493672076,0.0360914,0.091899534,0.127990934,0,0.004835037,0.00615099,0.117004907
EARLI Fe.1020011-3 Fe,330.9206951,221.7177543,0.670002685,0.056902632,0.156255656,0.213158289,0.00349272,0,0.010632094,0.199033475
EARLI Fe.1020011-5 Fe,377.4950616,269.752027,0.714584254,0.157027103,0.238752433,0.395779535,0.053233879,0.013210356,0.018226918,0.311108382
EARLI Fe.1020011_4_Fe,470.1712549,350.7334982,0.745969675,0.063808747,0.163406525,0.227215272,0.012823325,0.018585665,0.027553181,0.168253101
EARLI Fe.1020012-10 Fe,436.70613,364.2438265,0.834070789,0.11818323,0.286732753,0.404915983,0.027011299,0.011186103,0.047553319,0.319165262
EARLI Fe.1020012-11 Fe,444.1795035,375.4418351,0.845247996,0.121856302,0.398545008,0.520401309,0.012121644,0.022496419,0.068304394,0.417478852
EARLI Fe.1020012-12 Fe,489.3247593,383.8560765,0.784460768,0.110351917,0.360289182,0.470641098,0.046644958,0.010846483,0.068570095,0.344579562
EARLI Fe.1020012-13 Fe,469.2932023,387.5239331,0.825760806,0.133477025,0.375060974,0.508538,0.009778854,0.028990084,0.071857062,0.397912
EARLI Fe.1020012-14 Fe,333.983457,242.5656034,0.726280294,0.112637553,0.197013286,0.309650838,0.011948151,0.026121227,0.049041345,0.222540115
EARLI Fe.1020012-15 Fe,499.7858181,364.5939901,0.729500472,0.207209234,0.340624279,0.547833513,0.042667068,0.037492254,0.097327246,0.370346945
EARLI Fe.1020012-16 Fe,487.7557672,345.8761642,0.709117529,0.36225933,0.463237294,0.825496625,0.04736992,0.109308419,0.155475827,0.513342459
EARLI Fe.1020012-17 Fe,530.1663759,385.9052492,0.727894613,0.361257237,0.711862313,1.073119549,0.033424949,0.076529178,0.198986482,0.76417894
EARLI Fe.1020012-5 Fe,451.1064721,367.6088717,0.814904894,0.135960794,0.536555457,0.672516251,0.019921205,0.021456732,0.073122062,0.558016252
EARLI Fe.1020012-6 Fe,579.2406612,415.7825908,0.717806291,0.212212333,0.637911651,0.850123984,0.096115336,0.05169124,0.08531229,0.617005118
EARLI Fe.1020012-7 Fe,445.5966105,368.7261926,0.827488773,0.063859368,0.249571736,0.313431104,0.01902529,0.030199454,0.03267103,0.23153533
EARLI Fe.1020012-8 Fe,456.8549436,389.5545634,0.85268764,0.11567025,0.314927513,0.430597762,0.016241021,0.027232039,0.067400859,0.319723843
EARLI Fe.1020012-9 Fe,439.261704,365.6933879,0.832518256,0.164243697,0.333253497,0.497497195,0.02584181,0.037242048,0.079886762,0.354526575
EARLI Fe.1020012_4_Fe,498.9294921,356.8726757,0.71527677,0.134714407,0.213240423,0.347954831,0.029836561,0.025013063,0.07014803,0.222957177
EARLI Fe.1020014-3 Fe,344.8655047,261.8796071,0.759367358,0.141898926,0.364101708,0.506000634,0.06829906,0.027017396,0.027042289,0.383641889
EARLI Fe.1020014-5 Fe,314.3502146,231.200288,0.735486337,0.384863706,0.438853537,0.823717242,0.265722073,0.015924009,0.038898994,0.503172166
EARLI Fe.1020014-6 Fe,299.7003265,196.6641464,0.656202643,0.047675501,0.163834986,0.211510487,0,0.008514362,0.017488494,0.185507631
EARLI Fe.1020014-7 Fe,290.8431853,203.915995,0.701120072,0.53854237,0.332433533,0.870975904,0.342538798,0.108038593,0.085835055,0.334563458
EARLI Fe.1020014_4_Fe,304.992413,204.5487809,0.670668424,0.034303142,0.221605822,0.255908963,0.085141968,0.009465522,0.015266937,0.146034536
EARLI Fe.1020018-10 Fe,353.4066304,211.3136469,0.597933453,0.113558615,0.339761895,0.45332051,0.093899047,0.029766357,0.033140959,0.296514147
EARLI Fe.1020018-11 Fe,412.9251089,268.1041201,0.649280255,0.414245229,0.638142805,1.052388034,0.269244259,0.117767152,0.105972681,0.559403942
EARLI Fe.1020018-12 Fe,369.9239657,224.6988838,0.607419104,0.358651287,0.664389263,1.023040549,0.172269333,0.089116179,0.160900339,0.600754698
EARLI Fe.1020018-13 Fe,373.914067,256.4076173,0.685739425,0.185845472,0.792858617,0.978704088,0.067649287,0.0689689,0.082212278,0.759873623
EARLI Fe.1020018-14 Fe,396.1463452,283.9386225,0.716751842,0.081640996,0.287203952,0.36884495,0,0.013220517,0.029983541,0.325640892
EARLI Fe.1020018-15 Fe,353.9594525,224.3189264,0.633741873,0.202841683,0.456881052,0.659722734,0.104781854,0.04782283,0.078031937,0.429086113
EARLI Fe.1020018-3 Fe,369.7234294,235.0350131,0.635704947,0.689157347,0.827446705,1.516604052,0.594444433,0.187125967,0.166224006,0.568809646
