scene_name,TotalTissueArea(sqmm),TotalVilliArea(sqmm),VPD,Area_StainArtifact(sqmm),Area_Hemosiderin(sqmm),Total Stain,Stain>10k,Stain5k-10k,Stain2k-5k,Stain<2k
IBR # 100 A1 Fe,298.3841385,213.417905,0.715245475,0.004424959,0.029279916,0.033704875,0,0,0.001472277,0.032232598
IBR # 101 A1 Fe,284.5171917,237.7372597,0.835581352,0.014485008,0.441831366,0.456316375,0,0.007017954,0.006074031,0.44322439
IBR # 105 A1 Fe,313.2922309,256.4496328,0.818563653,0.045971816,0.135585612,0.181557428,0.034522807,0.001333076,0.004027678,0.141673868
IBR # 106 A1 Fe,431.4086416,321.3589906,0.744906243,0.009408753,0.040803098,0.050211851,0,0.001889879,0.007733263,0.040588709
IBR # 107 A1 Fe,397.4904429,315.2711801,0.793154114,0.008488199,0.044954736,0.053442934,0,0.00174763,0.004762292,0.046933012
IBR # 108 A1 Fe,123.4789039,104.1115911,0.843152861,0.004784645,0.01755149,0.022336135,0,0.00155153,0.000642152,0.020142453
IBR # 110 A1 Fe,178.2166685,154.9179704,0.86926757,0.004402605,0.062153651,0.066556256,0,0,0.001691747,0.06486451
IBR # 120 A1 Fe,340.6094773,214.7654345,0.630532762,0.011001941,0.024468853,0.035470794,0,0,0.001801481,0.033669313
IBR # 139 A1 Fe,254.7645699,207.0595482,0.812748603,0.001808594,0.026769222,0.028577816,0,0,0.000679747,0.027898069
IBR # 176 A1 Fe,139.7264734,126.7626815,0.907220217,0.002275983,0.014609984,0.016885968,0,0,0,0.016885968
IBR # 185 A1 Fe,271.7152425,194.4232927,0.715540618,0.009118158,0.046952317,0.056070476,0,0,0.002975035,0.05309544
IBR # 246 A1 Fe,249.4450004,193.3141165,0.774976914,0.030984872,0.213748368,0.244733239,0,0.012927382,0.030665828,0.201140029
IBR # 311 A1 Fe,336.0256996,284.5547515,0.84682437,0.01409992,0.460748446,0.474848366,0.022478384,0.008177283,0.030593687,0.413599012
IBR # 314 A1 Fe,299.8530724,246.4194361,0.821800604,0.045800101,0.321086385,0.366886486,0,0.014766458,0.054178565,0.297941463
IBR # 36 A1 Fe,158.3106406,131.0485675,0.827793804,0.018962802,0.119654745,0.138617547,0.008393705,0.007490424,0.002603156,0.120130263
IBR # 37 A1 Fe,246.495902,197.82274,0.80253967,0.011073065,0.076123515,0.08719658,0,0.008426219,0.0078684,0.070901962
IBR # 37 A2 Fe,345.932157,293.8235312,0.849367499,0.031783498,0.24718805,0.278971548,0.009289873,0.005126043,0.022414372,0.24214126
IBR # 39 A1 Fe,219.931807,168.5406737,0.76633151,0.018501509,0.074427704,0.092929213,0.006886882,0.005610705,0.010848515,0.069583111
IBR # 49 A1 Fe,144.5132678,91.25598668,0.631471339,0.06423963,0.534338913,0.598578543,0.077831518,0.078489928,0.10554568,0.336711417
IBR # 55 A1 Fe,150.74591,111.8194994,0.741774681,0.005432894,0.037241794,0.042674688,0,0,0.002303417,0.040371271
IBR # 60 A1 Fe,287.1321198,204.7227158,0.712991343,0.015253153,0.057692114,0.072945267,0,0,0.006185798,0.066759469
IBR # 65 A1 Fe,288.7716803,185.1102258,0.641026245,0.006107561,0.01898922,0.025096781,0,0,0,0.025096781
IBR # 68 A1 Fe,229.5998866,157.8026909,0.68729429,0.013580711,0.051162887,0.064743598,0,0,0.00171918,0.063024418
IBR # 73 A1 Fe,284.5584317,229.9372818,0.808049441,0.010305937,0.078908546,0.089214483,0,0,0.005355673,0.08385881
IBR # 75 A1 Fe,299.7795043,224.3320093,0.748323371,0.003701521,0.065054514,0.068756035,0,0,0.000791514,0.067964521
IBR # 76 A1 Fe,352.2285075,230.7369618,0.655077476,0.009367094,0.041815098,0.051182192,0.003227019,0.001660249,0.003828529,0.042466395
IBR # 92 A1 Fe,160.8414833,136.4087308,0.848094211,0.001220293,0.08043061,0.081650903,0,0,0,0.081650903
IBR # 93 A1 Fe,435.7294852,310.9463646,0.7136225,0.003862059,0.040252391,0.044114451,0,0.003277822,0.002592995,0.038243633
IBR # 94 A1 Fe,274.1367222,231.0245953,0.842734944,0.008752375,0.065790144,0.074542519,0,0,0.006115689,0.06842683
IBR # 96 A1 Fe,345.0528207,241.7087389,0.700497792,0.042544632,0.132102545,0.174647177,0,0.00631687,0.024331685,0.143998622
IBR # 97 A1 Fe,128.622357,112.245408,0.872674165,0.002090044,0.025056138,0.027146182,0,0,0,0.027146182
IBR # 98 A1 Fe,281.5340918,246.3623679,0.875071173,0.001813674,0.032932666,0.034746341,0,0,0.001694795,0.033051546
