scene_name,TotalTissueArea(sqmm),TotalVilliArea(sqmm),VPD,Area_StainArtifact(sqmm),Area_Hemosiderin(sqmm),Stain>10k,Stain5k-10k,Stain2k-5k,Stain<2k
IBR # 100 A1 Fe,298.1852564,208.503684,0.699242097,0.014412868,0.041936772,0,0,0.001384641,0.054964998
IBR # 101 A1 Fe,284.3716692,234.6622669,0.825195659,0.036525977,0.648893779,0.002552607,0.004490749,0.005257369,0.673119031
IBR # 105 A1 Fe,313.2788846,250.9025841,0.800892101,0.116693934,0.202507398,0.03432823,0.001326472,0.004223016,0.279323614
IBR # 106 A1 Fe,431.1289702,314.9041328,0.730417473,0.023828225,0.053360633,0,0.001857873,0.008156708,0.067174277
IBR # 107 A1 Fe,397.3690873,306.2734878,0.77075318,0.023206902,0.062346449,0,0.001745598,0.004680753,0.079127
IBR # 108 A1 Fe,123.4517971,101.0291573,0.818369272,0.016626617,0.020679951,0,0.00151673,0.000647233,0.035142606
IBR # 110 A1 Fe,178.188774,152.1934489,0.854113565,0.016503674,0.10113393,0,0,0.001164663,0.11647294
IBR # 120 A1 Fe,340.4347973,210.4641013,0.618221471,0.047197189,0.0405755,0,0,0.001792337,0.085980352
IBR # 139 A1 Fe,254.5493391,202.7895913,0.796661237,0.012922302,0.036786343,0,0,0.001209624,0.048499021
IBR # 176 A1 Fe,139.8185974,125.3676025,0.896644687,0.009248469,0.035589166,0,0,0,0.044837634
IBR # 185 A1 Fe,271.7486906,188.3880663,0.693243695,0.037448309,0.060182995,0,0,0.002367683,0.09526362
IBR # 246 A1 Fe,249.3862348,189.0673221,0.758130545,0.060696107,0.317460052,0,0.013835235,0.027869619,0.336451304
IBR # 311 A1 Fe,335.5400812,278.2316925,0.829205535,0.048145685,0.545896641,0.01911318,0.010688739,0.033308356,0.53093205
IBR # 314 A1 Fe,299.6030488,240.872698,0.803972787,0.077536098,0.311257744,0,0.011659588,0.054335546,0.322798707
IBR # 36 A1 Fe,158.4438461,130.1103033,0.821176123,0.039236073,0.243109315,0.008338583,0.007306516,0.003788141,0.262912148
IBR # 37 A1 Fe,246.5833062,193.2917365,0.783880059,0.034277935,0.084766917,0,0.008023095,0.006903901,0.104117856
IBR # 39 A1 Fe,219.7715793,164.5124354,0.74856101,0.030364565,0.091206985,0.006782227,0.005493858,0.009866998,0.099428467
IBR # 49 A1 Fe,144.4225267,90.13204945,0.624085809,0.120522972,0.487568471,0.075097036,0.079052573,0.100346227,0.353595606
IBR # 55 A1 Fe,150.5962689,109.8296366,0.729298524,0.025314727,0.062715788,0,0,0.002266077,0.085764438
IBR # 60 A1 Fe,286.7970597,200.8317371,0.700257308,0.046118891,0.105244163,0,0,0.005952865,0.145410189
IBR # 65 A1 Fe,288.8408029,180.0434591,0.623331113,0.023366424,0.03527825,0,0,0,0.058644674
IBR # 68 A1 Fe,229.4996806,155.3871082,0.677068952,0.034030524,0.079900987,0,0,0.001650596,0.112280914
IBR # 73 A1 Fe,284.3550683,225.3018612,0.792325815,0.029826051,0.186273489,0,0,0.005235778,0.210863762
IBR # 75 A1 Fe,299.5554238,220.4152357,0.735807861,0.031821346,0.105396573,0,0,0.000804215,0.136413704
IBR # 76 A1 Fe,352.1783952,226.9655669,0.644461926,0.021264949,0.062752621,0.003200602,0.001657962,0.003216351,0.075942655
IBR # 92 A1 Fe,160.7148916,133.9623182,0.833540171,0.009951077,0.112206488,0,0,0,0.122157564
IBR # 93 A1 Fe,435.3997481,303.9719909,0.698144618,0.013202482,0.046397801,0,0.003267662,0.002991546,0.053341074
IBR # 94 A1 Fe,274.1406132,226.7676696,0.827194727,0.032096446,0.086024805,0,0,0.005424258,0.112696993
IBR # 96 A1 Fe,344.7131365,236.9452492,0.687369363,0.075753668,0.142131351,0,0.007534369,0.023458886,0.186891764
IBR # 97 A1 Fe,128.4521038,111.1418134,0.865239339,0.007170618,0.078198826,0,0,0,0.085369443
IBR # 98 A1 Fe,281.4777836,241.7342728,0.858804094,0.007801085,0.055433658,0,0,0.001158313,0.06207643
