"","X","th_BG","Layer.mean.of.Layer.1..unclassified","Layer.mean.of.Layer.2..unclassified","Layer.mean.of.Layer.3..unclassified","th_RL1","th_RL2","th_RL3","K2$cluster"
"1",1,-1.081340431,-1.010276326,-1.067046337,-0.780306927,0.316300743,-1.110010104,0.986959093,2
"2",2,0.104520551,0.913783186,-0.580492516,-1.024241965,2.496039533,-1.126922435,-2.470394113,2
"3",3,0.560620929,0.646164969,-0.445034063,-1.033269472,2.033946927,-0.650008898,-2.373649557,2
"4",4,-0.169139676,0.620208424,-0.91203632,-1.517795548,2.956742316,-1.38553777,-2.858331855,2
"5",5,0.104520551,0.070321673,-1.202537106,-1.769798395,2.844667779,-1.548010613,-2.461020121,2
"6",6,0.104520551,0.323351376,-1.162817909,-1.726298353,3.0794015,-1.650617349,-2.69787403,2
"7",7,0.195740627,0.77464578,0.052578665,-0.115953144,0.934786099,-0.236721277,-1.174268077,2
"8",8,0.560620929,1.101136689,0.343201109,0.200150277,0.80388966,-0.045830619,-1.221858028,2
"9",9,-0.351579827,0.663177642,-0.166704235,-0.391066444,1.232891234,-0.455218353,-1.35653144,2
"10",10,1.472821684,1.028558577,0.782537139,0.32444049,0.23252351,0.775479155,-1.413550753,1
"11",11,1.381601609,0.848444976,0.912936508,0.52781074,-0.232234107,1.015386633,-0.993994197,1
"12",12,1.56404176,1.401737892,1.888633014,1.500725949,-1.028990771,1.830596991,-0.817639266,1
"13",13,0.378180778,0.563683038,0.488364306,0.007929809,0.179215046,0.701416623,-1.22889402,1
"14",14,1.016721307,0.540211023,-0.030352197,0.309838758,0.407233037,-0.509421899,0.034536194,2
"15",15,-0.442799902,-0.405324672,-0.704540262,-1.232418831,1.146142402,-0.383471831,-1.314465394,2
"16",16,-0.990120356,-1.070282385,-1.505191976,-2.174609106,2.061127192,-1.220410813,-1.650373473,2
"17",17,-1.081340431,-0.726510365,-1.250032196,-1.877656887,1.935621414,-1.028891207,-1.707415302,2
"18",18,-0.716460129,-0.25129635,-0.614003201,-0.576914358,0.69117956,-0.709003185,-0.150546594,2
"19",19,0.104520551,-0.326260635,-0.826242506,-0.789779633,0.997337843,-1.007759788,-0.237791347,2
"20",20,-0.807680204,0.075505044,-0.612099828,-0.581716893,1.115080598,-0.920191443,-0.543474512,2
"21",21,-0.351579827,-0.553640787,-0.899926943,-0.762121015,0.748886103,-1.041618411,0.204385796,2
"22",22,-0.807680204,-1.146879333,-1.104947189,-1.559472312,0.865460237,-0.574597407,-0.60944956,2
"23",23,0.651841004,-0.283937531,-0.103159736,-0.403501992,-0.006219663,0.323300146,-0.424614012,2
"24",24,-0.260359751,-0.597562937,-0.378720265,-0.717387556,0.106397588,0.150554949,-0.372229434,2
"25",25,-1.355000658,-1.301423224,-1.135016177,-0.842132696,0.029304094,-1.027412926,1.334148641,2
"26",26,-0.716460129,-1.017459868,-0.700971267,-0.400331412,-0.39847969,-0.491275918,1.296515474,2
"27",27,-0.716460129,-1.533734566,-0.995354675,-0.704080865,-0.577985305,-0.611443228,1.744622514,2
"28",28,-1.355000658,-1.062650107,-0.976564798,-0.77376764,0.139244646,-0.859917226,0.933492776,2
"29",29,0.925501231,0.270243204,0.604744005,0.202124309,-0.422525158,1.005649755,-0.677095797,1
"30",30,0.651841004,-0.685062856,-0.023510707,-0.278188293,-0.708420188,0.695075053,0.196793033,1
"31",31,0.560620929,-0.019779228,0.458495864,0.130607423,-0.598786608,0.958313804,-0.332060002,1
"32",32,-0.0779196,-0.216690557,0.374574906,0.079894301,-0.7347956,0.957684659,-0.114067708,1
"33",33,-0.0779196,-2.369158478,-1.228973869,-1.300619741,-1.086971525,-0.119388441,1.895884461,2
"34",34,0.195740627,-1.479466021,-0.289985721,-0.503513287,-1.37768613,0.854485086,1.051055224,1
"35",35,0.378180778,-1.351946035,-0.296782349,-0.359038853,-1.301582419,0.641206937,1.216215947,1
"36",36,-0.169139676,-1.648436085,-0.375196255,-0.432474553,-1.594762344,0.740455063,1.550897027,1
"37",37,1.290381533,-0.421772196,0.694101684,0.749110154,-1.742965253,1.304513388,1.029367349,1
"38",38,-0.351579827,-0.261078786,0.467271111,0.239067461,-0.989205793,1.072499353,0.137792299,1
"39",39,0.104520551,-1.244542098,-0.355206318,-0.267401538,-1.164647189,0.3679915,1.364816344,1
"40",40,0.013300476,-0.486646492,-0.299670259,-0.245955758,-0.203156973,-0.062526805,0.408393981,2
"41",41,-0.442799902,-0.901508635,-0.729421456,-0.792897746,0.118054826,-0.379187756,0.321180417,2
"42",42,-0.990120356,-0.760452735,-0.700168586,-0.856369808,0.335327823,-0.370022858,-0.038027501,2
"43",43,-0.442799902,-0.688879722,-0.417832179,-0.492835071,-0.159343281,-0.020731588,0.282266282,2
"44",44,-0.534019978,-1.014147216,-1.090392541,-0.882402128,0.425727992,-1.096676895,0.794330852,2
"45",45,0.104520551,-1.006756111,-0.856153694,-0.600222504,-0.05780653,-0.72856422,1.071546764,2
"46",46,-0.351579827,-1.374843363,-0.952437177,-0.736987839,-0.363927827,-0.601724341,1.389803843,2
"47",47,-0.534019978,-0.846793579,-0.564798147,-0.396998198,-0.303503976,-0.302591373,0.891272183,2
"48",48,-0.260359751,-0.518861278,-0.751710965,-0.496252281,0.41303323,-0.891206017,0.538427663,2
"49",49,-0.534019978,-0.427648656,-0.925355402,-0.653967537,0.851949975,-1.254967544,0.3265984,2
"50",50,-0.351579827,-0.585715645,-0.670635616,-0.102925507,-0.081281241,-0.908778715,1.351249879,2
