,scene_name,scene_id,scene_ver,th_BG,Layer.mean.of.Layer.1..unclassified,Layer.mean.of.Layer.2..unclassified,Layer.mean.of.Layer.3..unclassified,th_RL1,th_RL2,th_RL3,2,3,4,5,6,7,8,9,10,11,12
1,GDM.GDM_1736_4,38A15D8B-68CF-11E8-9ECC-D89EF314B0B8,2,186,170.7903525,108.0463972,148.8304185,0.399353435,0.252641318,0.348005247,1,1,4,4,1,4,7,6,8,3,11
2,GDM.GDM_1912_3,38A15D8E-68CF-11E8-9ECC-D89EF314B0B8,2,199,205.8922935,118.3475575,144.6827502,0.439075218,0.252381858,0.308542923,1,3,1,1,6,5,5,7,6,4,6
3,GDM.GDM_1912_4,38A15D8F-68CF-11E8-9ECC-D89EF314B0B8,2,204,201.0099503,121.2154401,144.529254,0.430654419,0.259698412,0.309647168,1,3,1,1,6,5,5,7,6,4,6
4,GDM.GDM_1912_5,38A15D90-68CF-11E8-9ECC-D89EF314B0B8,2,196,200.5364072,111.3282192,136.290776,0.44747069,0.248414319,0.304114991,1,1,1,4,6,5,5,7,6,8,6
5,GDM.GDM_1912_6,38A15D91-68CF-11E8-9ECC-D89EF314B0B8,2,199,190.504445,105.1778304,132.0059294,0.445428335,0.245921747,0.308649918,1,1,1,4,1,5,4,7,6,8,6
6,GDM.GDM_1912_7,38A15D92-68CF-11E8-9ECC-D89EF314B0B8,2,199,195.1206399,106.0187524,132.7455679,0.449705931,0.244347609,0.305946461,1,1,1,4,1,5,4,7,6,8,6
7,GDM.GDM_2107_3,38A15D95-68CF-11E8-9ECC-D89EF314B0B8,2,200,203.3539141,131.750736,160.1265371,0.410624208,0.266038851,0.323336941,2,3,2,1,6,2,5,5,7,4,3
8,GDM.GDM_2107_4,38A15D96-68CF-11E8-9ECC-D89EF314B0B8,2,204,209.3103123,137.9037005,165.5012965,0.408238858,0.268967394,0.322793748,2,3,2,2,3,7,8,4,9,6,3
9,GDM.GDM_2107_5,38A15D97-68CF-11E8-9ECC-D89EF314B0B8,2,194,201.3203242,127.1081493,155.4487396,0.416056633,0.262686785,0.321256582,1,3,2,1,6,2,5,7,6,4,3
10,GDM.GDM_2522_Q1,38A15D99-68CF-11E8-9ECC-D89EF314B0B8,2,214,207.9862199,147.205181,167.6146238,0.397826747,0.281567492,0.320605762,2,2,2,2,3,7,8,4,9,6,9
11,GDM.GDM_2522_Q2,38A15D9A-68CF-11E8-9ECC-D89EF314B0B8,2,213,204.7002836,149.9659543,171.0725622,0.389357383,0.285248025,0.325394592,2,2,2,2,3,7,8,4,9,6,9
12,GDM.GDM_2522_Q3,38A15D9B-68CF-11E8-9ECC-D89EF314B0B8,2,215,214.7943868,170.6230855,187.6152024,0.374837939,0.297754549,0.327407512,2,2,3,3,4,3,3,1,4,5,2
13,GDM.GDM_2522_Q4,38A15D9C-68CF-11E8-9ECC-D89EF314B0B8,2,202,199.5051757,140.9770488,162.2329397,0.396855297,0.280431264,0.322713439,2,3,2,2,3,7,8,5,9,6,3
14,GDM.GDM_2788_2,38A15D9E-68CF-11E8-9ECC-D89EF314B0B8,2,209,199.0769596,129.9949506,167.3663481,0.401010511,0.261855223,0.337134266,2,3,2,1,6,7,8,5,10,6,3
15,GDM.GDM_2788_A,38A15D9F-68CF-11E8-9ECC-D89EF314B0B8,2,193,181.8269016,115.7212587,141.1430841,0.414475793,0.263787482,0.321736725,1,1,1,4,1,5,4,6,2,8,1
16,GDM.GDM_2788_B,38A15DA0-68CF-11E8-9ECC-D89EF314B0B8,2,187,169.6956207,98.77011927,125.1228651,0.43114973,0.250947609,0.317902661,1,1,4,5,2,1,2,2,5,1,4
17,GDM.GDM_2788_C,38A15DA1-68CF-11E8-9ECC-D89EF314B0B8,2,186,175.9672901,104.1722797,130.1719934,0.428862615,0.253885801,0.317251584,1,1,4,5,1,1,7,6,8,1,11
18,GDM.GDM_2788_Q1,38A15DA2-68CF-11E8-9ECC-D89EF314B0B8,2,190,184.6369462,117.6380801,152.2887364,0.406184921,0.258793353,0.335021726,1,1,1,4,5,5,4,3,2,2,1
19,GDM.GDM_2788_Q2,38A15DA3-68CF-11E8-9ECC-D89EF314B0B8,2,199,183.2693212,113.1446181,148.6693525,0.4117641,0.254209988,0.334025912,1,1,1,4,5,5,4,3,2,8,1
20,GDM.GDM_2788_Q3,38A15DA4-68CF-11E8-9ECC-D89EF314B0B8,2,189,190.5990088,117.6783777,152.2070781,0.413909748,0.255553415,0.330536836,1,3,1,4,6,5,4,7,6,2,6
21,GDM.GDM_2788_Q4,38A15DA5-68CF-11E8-9ECC-D89EF314B0B8,2,194,179.1210687,111.584595,149.1396366,0.407236518,0.253690547,0.339072934,1,1,1,4,5,4,4,3,2,2,1
22,GDM.GDM_2898_A,38A15DA7-68CF-11E8-9ECC-D89EF314B0B8,2,189,168.2982099,107.2439726,135.582139,0.40936087,0.260855335,0.329783795,1,1,4,5,1,1,7,6,8,1,11
23,GDM.GDM_2898_B,38A15DA8-68CF-11E8-9ECC-D89EF314B0B8,2,205,184.0414507,128.4534929,155.2372959,0.393476086,0.274630402,0.331893513,1,3,1,1,6,2,1,3,7,7,7
24,GDM.GDM_2898_C,38A15DA9-68CF-11E8-9ECC-D89EF314B0B8,2,195,178.3197667,122.6194144,149.9002471,0.395528331,0.271980237,0.332491432,1,1,1,4,5,4,4,3,2,2,1
25,GDM.GDM_2898_Q1,38A15DAA-68CF-11E8-9ECC-D89EF314B0B8,2,183,165.4787594,106.6073617,147.7791846,0.394123442,0.25390848,0.351968078,1,1,4,5,1,4,7,6,8,3,11
26,GDM.GDM_2898_Q2,38A15DAB-68CF-11E8-9ECC-D89EF314B0B8,2,190,170.6592982,115.7968203,155.2912058,0.386327859,0.262133609,0.351538532,1,1,1,4,5,4,4,3,2,2,1
27,GDM.GDM_2898_Q3,38A15DAC-68CF-11E8-9ECC-D89EF314B0B8,2,190,161.2405438,109.5642299,150.126503,0.383056695,0.260290066,0.356653238,1,1,4,4,1,4,7,9,8,3,11
28,GDM.GDM_2898_Q4,38A15DAD-68CF-11E8-9ECC-D89EF314B0B8,2,183,169.8348616,109.9620431,148.9416071,0.396126909,0.25647811,0.347394981,1,1,4,4,1,4,7,6,8,3,11
29,GDM.GDM_2968_Q1,38A15DAF-68CF-11E8-9ECC-D89EF314B0B8,2,208,194.151751,143.4410022,165.5348613,0.385889674,0.285098647,0.329011679,2,3,2,2,3,7,8,5,10,6,10
30,GDM.GDM_2968_Q2,38A15DB0-68CF-11E8-9ECC-D89EF314B0B8,2,205,176.7234455,130.1397964,157.3680257,0.380679756,0.280333975,0.33898627,1,3,1,1,5,2,1,3,1,10,7
31,GDM.GDM_2968_Q3,38A15DB1-68CF-11E8-9ECC-D89EF314B0B8,2,204,188.8606723,140.3446838,164.3188477,0.382677629,0.284372444,0.332949927,2,3,2,1,6,2,1,5,10,7,10
32,GDM.GDM_2968_Q4,38A15DB2-68CF-11E8-9ECC-D89EF314B0B8,2,197,185.2682835,138.5679364,163.456564,0.380199112,0.284362792,0.335438097,1,3,2,1,6,2,1,5,7,7,10
33,GDM.GDM_2978_Q1,38A15DB4-68CF-11E8-9ECC-D89EF314B0B8,2,197,145.9993308,104.6181198,139.9834526,0.373781345,0.267838909,0.358379746,1,1,4,5,1,1,7,9,8,3,11
